Time,High,Low,Open,Close,Volume
09:30,10.3,10.24,10.28,10.24,4404
09:31,10.315,10.23,10.235,10.29,4600
09:32,10.265,10.23,10.265,10.25,1140
09:33,10.255,10.22,10.23,10.225,1814
09:34,10.3,10.215,10.22,10.29,6885
09:35,10.38,10.285,10.285,10.38,2355
09:36,10.445,10.37,10.37,10.44,3635
09:37,10.46,10.43,10.43,10.45,1173
09:38,10.465,10.42,10.46,10.44,1151
09:39,10.45,10.395,10.43,10.41,4417
09:40,10.435,10.41,10.415,10.43,2014
09:41,10.5,10.425,10.43,10.5,5137
09:42,10.545,10.49,10.495,10.545,8298
09:43,10.62,10.55,10.555,10.62,28296
09:44,10.715,10.625,10.63,10.71,2000
09:45,10.78,10.72,10.725,10.78,50100
09:46,10.86,10.69,10.79,10.71,39665
09:47,10.755,10.695,10.745,10.695,1849
09:48,10.695,10.64,10.695,10.64,1423
09:49,10.65,10.58,10.63,10.635,4476
09:50,10.73,10.635,10.64,10.67,5256
09:51,10.705,10.675,10.675,10.69,1571
09:52,10.745,10.69,10.69,10.74,3797
09:53,10.79,10.74,10.74,10.75,2618
09:54,10.755,10.7,10.755,10.725,10222
09:55,10.765,10.725,10.725,10.765,12230
09:56,10.785,10.75,10.755,10.78,11096
09:57,10.785,10.735,10.785,10.735,9688
09:58,10.73,10.61,10.73,10.665,19211
09:59,10.685,10.62,10.67,10.62,2866
10:00,10.63,10.58,10.605,10.58,1864
10:01,10.565,10.48,10.565,10.495,1526
10:02,10.555,10.51,10.515,10.54,1472
10:03,10.555,10.52,10.555,10.53,1468
10:04,10.575,10.545,10.545,10.575,7379
10:05,10.625,10.595,10.595,10.62,4434
10:06,10.615,10.57,10.6,10.615,2235
10:07,10.63,10.605,10.62,10.63,1658
10:08,10.655,10.63,10.64,10.645,741
10:09,10.7,10.65,10.65,10.68,2352
10:10,10.7,10.66,10.68,10.66,1752
10:11,10.69,10.68,10.68,10.685,1001
10:12,10.685,10.66,10.67,10.66,5300
10:13,10.665,10.595,10.66,10.615,10802
10:14,10.64,10.6,10.615,10.64,4326
10:15,10.695,10.63,10.63,10.695,4404
10:16,10.715,10.675,10.69,10.71,1188
10:17,10.75,10.715,10.72,10.75,1122
10:18,10.77,10.735,10.755,10.745,14970
10:19,10.765,10.725,10.745,10.725,23905
10:20,10.735,10.675,10.715,10.695,7548
10:21,10.725,10.665,10.695,10.665,12200
10:22,10.68,10.63,10.68,10.64,12054
10:23,10.675,10.63,10.63,10.665,5644
10:24,10.695,10.65,10.655,10.695,7642
10:25,10.755,10.685,10.685,10.755,15100
10:26,10.77,10.735,10.76,10.735,14000
